"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"PRG"," 355","NAAL","A","20","20","A4092","10:45:00","12:30:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NAB","A","48","40","D4050","11:40:00","13:25:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 355","NBBL","A","20","20","A4082","12:35:00","14:20:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NCCL","A","20","3","A4087","10:45:00","12:30:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NCD","A","48","3","K3260","09:50:00","11:35:00","N","N","Y","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAAL","A","24","21","A4092","13:30:00","15:15:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAB","A","48","37","K2100C","12:35:00","14:20:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NBBL","A","24","16","A4082","14:25:00","16:10:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"CLO"," 835","NCE","A","31","26","ONLINE","19:55:00","21:40:00","N","N","Y","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NCE","A","31","26","K3274","19:00:00","20:45:00","Y","N","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 745","NCE","A","31","22","A1509A","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","31","22","A1508","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"IAM"," 500","NAA","A","35","1","ONLINE","10:45:00","12:30:00","N","Y","N","N","N","Akbari,Mehdi","H","NH"
"IAM"," 500","NAA","A","35","1","C3036","10:45:00","12:30:00","N","N","Y","N","N","Akbari,Mehdi","H","NH"
"IAM"," 500","NBB","A","35","1","ONLINE","12:35:00","14:20:00","N","N","N","N","Y","Akbari,Mehdi","H","NH"
